,TI,AB,DI,PY,tcmRelated,gcgRelated,ngrRelated,nwRelated,reviewer,2ndReviewer,agree,include
69,A framework of integrating gene relations from heterogeneous data sources: an experiment on Arabidopsis thaliana,"One of the most important goals of biological investigation is to uncover gene functional relations. In this study we propose a framework for extraction and integration of gene functional relations from diverse biological data sources, including gene expression data, biological literature and genomic sequence information. We introduce a two-layered Bayesian network approach to integrate relations from multiple sources into a genome-wide functional network. An experimental study was conducted on a test-bed of Arabidopsis thaliana. Evaluation of the integrated network demonstrated that relation integration could improve the reliability of relations by combining evidence from different data sources. Domain expert judgments on the gene functional clusters in the network confirmed the validity of our approach for relation integration and network inference.",10.1093/bioinformatics/btl345,2006,0,0.0,0.0,0.0,ngr,0.0,1,0
70,Evidence-based guidelines for assessment of software development cost uncertainty,"Several studies suggest that uncertainty assessments of software development costs are strongly biased toward overconfidence, i.e., that software cost estimates typically are believed to be more accurate than they really are. This overconfidence may lead to poor project planning. As a means of improving cost uncertainty assessments, we provide evidence-based guidelines for how to assess software development cost uncertainty, based on results from relevant empirical studies. The general guidelines provided are: 1) Do not rely solely on unaided, intuition-based uncertainty assessment processes, 2) do not replace expert judgment with formal uncertainty assessment models, 3) apply structured and explicit judgment-based processes, 4) apply strategies based on an outside view of the project, 5) combine uncertainty assessments from different sources through group work, not through mechanical combination, 6) use motivational mechanisms with care and only if greater effort is likely to lead to improved assessments, and 7) frame the assessment problem to fit the structure of the relevant uncertainty information and the assessment process. These guidelines are preliminary and should be updated in response to new evidence.",10.1109/TSE.2005.128,2005,0,0.0,1.0,0.0,ngr,1.0,0,0
71,Statistical approaches in the development of clinical practice guidelines from expert panels - The case of laminectomy in sciatica patients,"BACKGROUND. Variation in expert opinion and lack of a systematic methodology hinder the development of reliable clinical practice guidelines. However standardized protocols have been defined to quantify, combine, and summarize expert judgments. In addition, statistical methods may help to outline guidelines based on simplified models of these judgments. METHODS. TO test this hypothesis, stepwise logistic regression (SLR) and classification tree pruning (CTP) were used to predict the results of two expert panels (USA 1992 and Switzerland 1995) on laminectomy in sciatica conditions. Both panels, using the RAND-UCLA explicit method, assessed whether the procedure would be inappropriate or of potential use in 720 case scenarios combining 7 relevant factors. RESULTS. Laminectomy was rated as inappropriate in 60% and 70% of the scenarios by the US and Swiss panels, respectively. Either statistical method, in both panels, based its simplest model on the same 4 factors, as follows: imaging test results; disability; neurological findings; and conservative treatment trials (in decreasing order); the influence of 2 other factors, duration of pain and nerve root irritation, were only marginal. The correct classification rates of the models were 89% and 93% for SLR and 93% and 85% for CTP. Adopting the CTP US algorithm as a guideline would lead to consider performing laminectomy only in patients with imaging evidence of hernia, relatively severe disability, reflex abnormalities, and previous nonsurgical treatment. Adherence to the corresponding CTP Swiss algorithm would result in less restrictive conditions. CONCLUSION. The statistical techniques proved as useful instruments to structure and simplify appropriateness criteria developed by expert panels and to outline parsimonious decision models for clinical practice.",10.1097/00005650-199908000-00008,1999,0,0.0,0.0,1.0,nw,1.0,0,0
72,Automatic feature identification and graphical support in rule-based forecasting: A comparison,"We examined automatic feature identification and graphical support in rule-based expert systems for forecasting. The rule-based expert forecasting system (RBEFS) includes predefined rules to automatically identify features of a time series and selects the extrapolation method to be used. The system call also integrate managerial judgment using a graphical interface that allows a user to view alternate extrapolation methods two at a time. The use of the RBEFS led to a significant improvement in accuracy compared to equal-weight combinations of forecasts. Further improvement were achieved with the user interface. For 6-year ahead ex ante forecasts, the rule-based expert forecasting system has a median absolute percentage error (MdAPE) 15% less than that of equally weighted combined forecasts and a 33% improvement over the random walk. The user adjusted forecasts had a MdAPE 20% less than that of the expert system. The results of the system are also compared to those of an earlier rule-based expert system which required human judgments about some features of the time series data. The results of the comparison of the two rule-based expert systems showed no significant differences between them.",10.1016/S0169-2070(96)00682-6,1996,0,0.0,0.0,1.0,nw,1.0,0,0
73,Statistical correction of judgmental point forecasts and decisions,"In many organizations point estimates labelled as 'forecasts' are produced by human judgment rather than statistical methods. However, when these estimates are subject to asymmetric loss they are, in fact, decisions because they involve the selection of a value with the objective of minimizing loss. While there are often considerable advantages in using judgment to arrive at these decisions the psychological demands of the task may mean that the resulting decisions are sub-optimal when compared with those resulting from a normative decision model. In these circumstances a combination of statistical methods and judgment may be superior. This paper suggests a procedure which involves the statistical correction of the original decision to obtain a forecast and the subsequent use of a mathematical model to identify the theoretically optimal decision in the light of this forecast. The application of the procedure to the monthly decisions of a manufacturing company suggests that it may offer the potential for achieving substantial improvements In many practical contexts. Copyright (C) 1996 Elsevier Science Ltd",10.1016/0305-0483(96)00028-X,1996,0,0.0,1.0,0.0,ngr,1.0,0,0
74,"The tool for the automatic analysis of text cohesion (TAACO): Automatic assessment of local, global, and text cohesion","This study introduces the Tool for the Automatic Analysis of Cohesion (TAACO), a freely available text analysis tool that is easy to use, works on most operating systems (Windows, Mac, and Linux), is housed on a user's hard drive (rather than having an Internet interface), allows for the batch processing of text files, and incorporates over 150 classic and recently developed indices related to text cohesion. The study validates TAACO by investigating how its indices related to local, global, and overall text cohesion can predict expert judgments of text coherence and essay quality. The findings of this study provide predictive validation of TAACO and support the notion that expert judgments of text coherence and quality are either negatively correlated or not predicted by local and overall text cohesion indices, but are positively predicted by global indices of cohesion. Combined, these findings provide supporting evidence that coherence for expert raters is a property of global cohesion and not of local cohesion, and that expert ratings of text quality are positively related to global cohesion.",10.3758/s13428-015-0651-7,2016,0,0.0,1.0,0.0,ngr,1.0,0,0
75,Neurobiological Mechanisms Underlying the Blocking Effect in Aversive Learning,"Current theories of classical conditioning assume that learning depends on the predictive relationship between events, not just on their temporal contiguity. Here we employ the classic experiment substantiating this reasoning-the blocking paradigm-in combination with functional magnetic resonance imaging (fMRI) to investigate whether human amygdala responses in aversive learning conform to these assumptions. In accordance with blocking, we demonstrate that significantly stronger behavioral and amygdala responses are evoked by conditioned stimuli that are predictive of the unconditioned stimulus than by conditioned stimuli that have received the same pairing with the unconditioned stimulus, yet have no predictive value. When studying the development of this effect, we not only observed that it was related to the strength of previous conditioned responses, but also that predictive compared with nonpredictive conditioned stimuli received more overt attention, as measured by fMRI-concurrent eye tracking, and that this went along with enhanced amygdala responses. We furthermore observed that prefrontal regions play a role in the development of the blocking effect: ventromedial prefrontal cortex (subgenual anterior cingulate) only exhibited responses when conditioned stimuli had to be established as nonpredictive for an outcome, whereas dorsolateral prefrontal cortex also showed responses when conditioned stimuli had to be established as predictive. Most importantly, dorsolateral prefrontal cortex connectivity to amygdala flexibly switched between positive and negative coupling, depending on the requirements posed by predictive relationships. Together, our findings highlight the role of predictive value in explaining amygdala responses and identify mechanisms that shape these responses in human fear conditioning.",10.1523/JNEUROSCI.1210-12.2012,2012,0,0.0,0.0,0.0,gcg,0.0,1,0
76,Predicting Future Sensorimotor States Influences Current Temporal Decision Making,"Accurate motor execution is achieved by estimating future sensory states via a forward model of limb dynamics. In the current experiment, we probed the time course over which state estimation evolves during movement planning by combining a bimanual arm crossing movement with a temporal order judgment (TOJ) task. Human participants judged which of two successive vibrotactile stimuli delivered to each index finger arrived first as they were preparing to either cross or uncross their hands. TOJ error rate was found to systematically vary in a time- and direction-dependent manner. When planning to cross the hands, error rate systematically increased as the vibrotactile stimuli were delivered closer in time to the onset of the movement. By contrast, planning to uncross the hands led to a gradual reduction in error rate as movement planning progressed. In both cases, these changes occurred before the actual alteration in hand configuration. We suggest that these systematic changes in error represent an interaction between the evolving state estimation processes and decisions regarding the timing of successive events.",10.1523/JNEUROSCI.0037-11.2011,2011,0,0.0,0.0,0.0,ngr,0.0,1,0
77,Multi-criteria decision analysis for supporting the selection of medical devices under uncertainty,"Innovative approaches to the assessment and management of medical technologies use a combination of health technology assessment (HTA) and operations research methods, specifically multiple-criteria decision analysis (MCDA). The purpose of this article is to develop methodological support and provide a theoretical justification for decision support in the selection of medical devices under conditions of uncertainty, using MRI systems as an example. The goal of the method application has been formulated as follows: determine a ranked list of MRI systems for contributory health organisations administered by regional authorities (regional hospitals) in the Czech Republic. An analytic hierarchy process (AHP) and the Delphi method were used to identify experts' preferences and for consensus building. The expert group was selected based on eight complex-valued criteria, and each expert was given a weighting factor. A set of 13 MRI systems and the 14 key default specifications that play the most important roles when hospitals select MRIs for purchase were defined. Strong conformity (W >= 0.6, p < 0.05) within the experts' judgments was revealed. A prediction regarding alternatives, weights and changes in priority vectors over the,following 8 years has been provided. The developed approach is useful in decision support when selecting medical devices under conditions of uncertainty by hospitals. (C) 2015 Elsevier B.V. and Association of European Operational Research Societies (EURO) within the International Federation of Operational Research Societies (IFORS). All rights reserved.",10.1016/j.ejor.2015.05.075,2015,0,0.0,0.0,0.0,gcg,0.0,1,0
78,Development of an Antibiotic Spectrum Score Based on Veterans Affairs Culture and Susceptibility Data for the Purpose of Measuring Antibiotic De-Escalation: A Modified Delphi Approach,"OBJECTIVE. Development of a numerical score to measure the microbial spectrum of antibiotic regimens (spectrum score) and method to identify antibiotic de-escalation events based on application of the score. DESIGN. Web-based modified Delphi method. PARTICIPANTS. Physician and pharmacist antimicrobial stewards practicing in the United States recruited through infectious diseases-focused listservs. METHODS. Three Delphi rounds investigated: organisms and antibiotics to include in the spectrum score, operationalization of rules for the score, and de-escalation measurement. A 4-point ordinal scale was used to score antibiotic susceptibility for organism-antibiotic domain pairs. Antibiotic regimen scores, which represented combined activity of antibiotics in a regimen across all organism domains, were used to compare antibiotic spectrum administered early (day 2) and later (day 4) in therapy. Changes in spectrum score were calculated and compared with Delphi participants' judgments on de-escalation with 20 antibiotic regimen vignettes and with non-Delphi steward judgments on de-escalation of 300 pneumonia regimen vignettes. Method sensitivity and specificity to predict expert de-escalation status were calculated. RESULTS. Twenty-four participants completed all Delphi rounds. Expert support for concepts utilized in metric development was identified. For vignettes presented in the Delphi, the sign of change in score correctly classified de-escalation in all vignettes except those involving substitution of oral antibiotics. The sensitivity and specificity of the method to identify de-escalation events as judged by non-Delphi stewards were 86.3% and 96.0%, respectively. CONCLUSIONS. Identification of de-escalation events based on an algorithm that measures microbial spectrum of antibiotic regimens generally agreed with steward judgments of de-escalation status.",10.1086/677633,2014,0,0.0,0.0,0.0,ngr,0.0,1,0
79,Two Reasons to Make Aggregated Probability Forecasts More Extreme,"When aggregating the probability estimates of many individuals to form a consensus probability estimate of an uncertain future event, it is common to combine them using a simple weighted average. Such aggregated probabilities correspond more closely to the real world if they are transformed by pushing them closer to 0 or 1. We explain the need for such transformations in terms of two distorting factors: The first factor is the compression of the probability scale at the two ends, so that random error tends to push the average probability toward 0.5. This effect does not occur for the median forecast, or, arguably, for the mean of the log odds of individual forecasts. The second factor-which affects mean, median, and mean of log odds-is the result of forecasters taking into account their individual ignorance of the total body of information available. Individual confidence in the direction of a probability judgment (high/low) thus fails to take into account the wisdom of crowds that results from combining different evidence available to different judges. We show that the same transformation function can approximately eliminate both distorting effects with different parameters for the mean and the median. And we show how, in principle, use of the median can help distinguish the two effects.",10.1287/deca.2014.0293,2014,1,0.0,0.0,1.0,nw,1.0,1,1
80,Risk of surgery for subacromial impingement syndrome in relation to neck-shoulder complaints and occupational biomechanical exposures: a longitudinal study,"Objectives The aim of this longitudinal study was to evaluate the risk of surgery for subacromial impingement syndrome (SIS) in relation to neck-shoulder complaints and occupational biomechanical shoulder exposures. Methods The study was based on the Musculoskeletal Research Database at the Danish Ramazzini Centre. We linked baseline questionnaire information from 1993-2004 on neck-shoulder complaints, job titles, psychosocial work factors, body mass index, and smoking with register information on first-time surgery for SIS from 1996-2008. Biomechanical exposure measures were obtained from a job exposure matrix based on expert judgment. We applied multivariable Cox regression. Results During 280 125 person-years of follow-up among 37 402 persons, 557 first-time operations for SIS occurred. Crude surgery rates increased from 1.1 to 2.5 per 1000 person-years with increasing shoulder load. Using no neck-shoulder complaints and low shoulder load at baseline as a reference, no neck-shoulder complaints and high shoulder load showed an adjusted hazard ratio (HRadj) of 2.55 [95% confidence interval (95% CI) 1.59-4.09], while neck-shoulder complaints in combination with high shoulder load showed an HRadj of 4.52 (95% CI 2.87-7.13). Subanalyses based on 18 856 persons showed an HRadj of 5.40 (95% CI 2.88-10.11) for complaints located specifically in the shoulder in combination with high shoulder load. Conclusions Based on these findings, persons with neck-shoulder and especially shoulder complaints in combination with high shoulder load seem an obvious target group for interventions aimed at reducing exposures to prevent surgery for SIS.",10.5271/sjweh.3374,2013,0,0.0,0.0,1.0,nw,1.0,0,0
81,Using multi criteria decision making in analysis of alternatives for selection of enabling technology,"In September 2009 the U.S. Government Accountability Office (GAO) reported, Defense Acquisitions: Many Analyses of Alternatives Have Not Provided a Robust Assessment of Weapon System Options [U.S. Government Accountability Office, Pub. No. GAO-09-665, 2009, p. 1]. In their focused review of 32 Acquisition Category I programs, it was found that 10 did not conduct an Analysis of Alternatives (AoA), but rather focused on an already selected weapon system solution. Prior to Milestone A, the Department of Defense (DoD) requires that service sponsors conduct an Analysis of Alternatives (AoA). The AoA is an analytical comparison of multiple alternatives to be completed prior to committing and investing costly resources to one project or decision. Typically, however, sponsors will circumvent the process in an effort to save money or schedule, and capability requirements are proposed that are so specific that they effectively eliminate all but the preferred concepts, practically ignoring other alternatives. Decision making is one of the most challenging parts of Systems Engineering. How one feeds the decision making process is key to eliminating long term waste. About three-quarters of a programs total life cycle cost is influenced by decisions made before it is approved to start development[U.S. Government Accountability Office, Pub. No. GAO-09-665, 2009, pp. 2]. This study evaluates the positive benefits of defining the problem domain prior to expeditiously turning to the solution domain. The goal in any decision making process is to provide the decision maker with the ability to look into the future, and to make the best possible decision based on past and present information and future predictions. There is a need for approaches that combine available quantitative data with the more subjective knowledge of experts. Decision theory techniques have been successfully used for contrasting expert judgments and making educated choices for many years. For a successful analysis, one must focus on selection of specific criteria that are key performance drivers that can lead to an informed selection of the enabling technology. Understanding the requirements of the end state goal is key to a successful analysis and should also assist in the selection of key performance parameters. A case study example is presented to demonstrate a third tier AoA identifying an enabling technology using the Technique for Order Preference by Similarity to Ideal Solution (TOPSIS) while successfully accounting for tacit knowledge of expert practitioners. (c) 2012 Wiley Periodicals, Inc.",10.1002/sys.21233,2013,0,0.0,0.0,0.0,gcg,0.0,1,0
82,Modeling hypoxia in the Chesapeake Bay: Ensemble estimation using a Bayesian hierarchical model,"Quantifying parameter and prediction uncertainty in a rigorous framework can be an important component of model skill assessment. Generally, models with lower uncertainty will be more useful for prediction and inference than models with higher uncertainty. Ensemble estimation, an idea with deep roots in the Bayesian literature, can be useful to reduce model uncertainty. It is based on the idea that simultaneously estimating common or similar parameters among models can result in more precise estimates. We demonstrate this approach using the Streeter-Phelps dissolved oxygen sag model fit to 29 years of data from Chesapeake Bay. Chesapeake Bay has a long history of bottom water hypoxia and several models are being used to assist management decision-making in this system. The Bayesian framework is particularly useful in a decision context because it can combine both expert-judgment and rigorous parameter estimation to yield model forecasts and a probabilistic estimate of the forecast uncertainty. Published by Elsevier B.V.",10.1016/j.jmarsys.2008.05.008,2009,0,0.0,0.0,1.0,nw,1.0,0,0
83,A neural timing model of visual threshold,"A theory of visual threshold-versus-intensity curves is presented. The theory is based on a model of spike generation by idealized visual neurons. The spike generation model relates the interarrival time statistics of the neural spikes to the statistics of weighted photon summation within the receptive field of the spiking neuron, the spike generation model is combined with the psychophysical assumption that the observer monitors a neuron which is ideally matched to the target in both scale and location. The resulting model specifies how the interarrival time distribution depends on the incremental flash intensity, area, and duration of the threshold stimulus and on the background luminance. A further psychophysical assumption is then added to the model: that the observer uses a neural timing model in order to discriminate test trials from blanks. On the basis of the complete model, a theory of threshold-versus-intensity functions is derived, The model observer exhibits threshold behavior that mimics many aspects of the threshold judgments of human observers. In particular, the theoretical threshold functions exhibit: (1) at low background levels, absolute thresholds which depend inversely on test area and duration: (2) at moderate background levels, de Vries-Rose behavior if and only if the test flash is sufficiently small and brief; and (3) in the limit of high background levels, asymptotic Weber behavior. The theory also accounts for changes in the shape of the threshold-versus-intensity curve as test flash area (or spatial frequency) and duration are altered, It is argued that empirical failures to find Weber behavior at high backgrounds under some stimulus conditions (high spatial frequency or small targets, brief targets) may be due to the occurrence of photoreceptor saturation at background levels that are below the range in which Weber behavior would be predicted by the (nonsaturating) model presented here. (C) 1996 Academic Press, Inc.",10.1006/jmps.1996.0001,1996,0,0.0,0.0,0.0,nw,0.0,1,0
84,Visual motion aftereffects arise from a cascade of two isomorphic adaptation mechanisms,"Prolonged exposure to a moving stimulus can substantially alter the perceived velocity ( both speed and direction) of subsequently presented stimuli. Here, we show that these changes can be parsimoniously explained with a model that combines the effects of two isomorphic adaptation mechanisms, one nondirectional and one directional. Each produces a pattern of velocity biases that serves as an observable ""signature"" of the corresponding mechanism. The net effect on perceived velocity is a superposition of these two signatures. By examining human velocity judgments in the context of different adaptor velocities, we are able to separate these two signatures. The model. fits the data well, successfully predicts subjects' behavior in an additional experiment using a nondirectional adaptor, and is in agreement with a variety of previous experimental results. As such, the model provides a unifying explanation for the diversity of motion aftereffects.",10.1167/9.9.9,2009,0,0.0,0.0,0.0,gcg,0.0,1,0
85,Location memory in the real world: Category adjustment effects in 3-dimensional space,"The ability to remember spatial locations is critical to human functioning, both in an evolutionary and in an everyday sense. Yet spatial memories and judgments often show systematic errors and biases. Bias has been explained by models such as the Category Adjustment model (CAM), in which fine-grained and categorical information about locations are combined in a Bayesian manner (Huttenlocher, Hedges, & Duncan, 1991). However, experiments testing this model have largely used locations contained in simple geometric shapes and, more recently, 2D scenes. Do the results generalize to location memory in the complex natural world, as they should if the CAM is to provide an over-arching framework for thinking about spatial memory? Here, this issue is addressed using a novel extension of the location memory paradigm that allows for testing of location memory in an everyday, 3D environment. The results support two predictions of the CAM: that memory for locations is biased toward central values, and that the magnitude of error increases with the retention interval. (C) 2013 Elsevier B.V. All rights reserved.",10.1016/j.cognition.2013.02.016,2013,0,0.0,0.0,0.0,gcg,0.0,1,0
86,A Behavioral Probabilistic Risk Assessment Framework for Managing Autonomous Underwater Vehicle Deployments,"The deployment of a deep-diving long-range autonomous underwater vehicle (AUV) is a complex operation that requires the use of a risk-informed decision-making process. Operational risk assessment is heavily dependent on expert subjective judgment. Expert judgments can be elicited either mathematically or behaviorally. During mathematical elicitation experts are kept separate and provide their assessment individually. These are then mathematically combined to create a judgment that represents the group view. The limitation with this approach is that experts do not have the opportunity to discuss different views and thus remove bias from their assessment. In this paper, a Bayesian behavioral approach to estimate and manage AUV operational risk is proposed. At an initial workshop, behavioral aggregation, that is, reaching agreement on the distributions of risks for faults or incidents, is followed by an agreed upon initial estimate of the likelihood of success of the proposed risk mitigation methods. Postexpedition, a second workshop assesses the new data and compares observed to predicted risk, thus updating the prior estimate using Bayes' rule. This feedback further educates the experts and assesses the actual effectiveness of the mitigation measures. Applying this approach to an AUV campaign in ice-covered waters in the Arctic showed that the maximum error between the predicted and the actual risk was 9% and that the experts' assessments of the effectiveness of risk mitigation led to a maximum of 24% in risk reduction.",10.1175/JTECH-D-12-00005.1,2012,1,0.0,1.0,0.0,ngr,1.0,1,1
87,Incorporating subjective and stochastic uncertainty in an interactive multi-objective groundwater calibration framework,"The interactive multi-objective genetic algorithm (IMOGA) combines traditional optimization with an interactive framework that considers the subjective knowledge of hydro-geological experts in addition to quantitative calibration measures such as calibration errors and regularization to solve the groundwater inverse problem. The IMOGA is inherently a deterministic framework and identifies multiple large-scale parameter fields (typically head and transmissivity data are used to identify transmissivity fields). These large-scale parameter fields represent the optimal trade-offs between the different criteria (quantitative and qualitative) used in the IMOGA. This paper further extends the IMOGA to incorporate uncertainty both in the large-scale trends as well as the small-scale variability (which can not be resolved using the field data) in the parameter fields. The different parameter fields identified by the IMOGA represent the uncertainty in large-scale trends, and this uncertainty is modeled using a Bayesian approach where calibration error, regularization, and the expert's subjective preference are combined to compute a likelihood metric for each parameter field. Small-scale (stochastic) variability is modeled using a geostatistical approach and added onto the large-scale trends identified by the IMOGA. This approach is applied to the Waste Isolation Pilot Plant (WIPP) case-study. Results, with and without expert interaction, are analyzed and the impact that expert judgment has on predictive uncertainty at the WIPP site is discussed. It is shown that for this case, expert interaction leads to more conservative solutions as the expert compensates for some of the lack of data and modeling approximations introduced in the formulation of the problem.",10.1007/s00477-010-0384-1,2010,0,0.0,0.0,0.0,ngr,0.0,1,0
88,An application of judgment analysis to examination marking in psychology,"Statistical combinations of specific measures have been shown to be superior to expert judgment in several fields. In this study, judgment analysis was applied to examination marking to investigate factors that influenced marks awarded and contributed to differences between first and second markers. Seven markers in psychology rated 551 examination answers on seven 'aspects' for which specific assessment criteria had been developed to support good practice in assessment. The aspects were: addressing the question, covering the area, understanding, evaluation, development of argument, structure and organization, and clarity. Principal-components analysis indicated one major factor and no more than two minor factors underlying the seven aspects. Aspect ratings were used to predict overall marks, using multiple regression to 'capture' the marking policies of individual markers. These varied from marker to marker in terms of the numbers of aspect ratings that made independent contributions to the prediction of overall marks and the extent to which aspect ratings explained the variance in overall marks. The number of independently predictive aspect ratings, and the amount of variance in overall marks explained by aspect ratings, were consistently higher for first markers (question setters) than for second markers. Co-markers' overall marks were then used as an external criterion to test the extent to which a simple model consisting of the sum of the aspect ratings improved on overall marks in the prediction of co-markers marks. The model significantly increased the variance in co-markers' marks accounted for, but only for second markers, who had not taught the material and had not set the question. Further research is needed to develop the criteria and especially to establish the reliability and validity of specific aspects of assessment. The present results support the view that, for second markers at least, combined measures of specific aspects of examination answers may help to improve the reliability of marking.",10.1348/000712602760146233,2002,0,0.0,1.0,0.0,ngr,1.0,0,0
89,Life cycle assessment of fuel cell vehicles - A methodology example of input data treatment for future technologies,"Life cycle assessment (LCA) will always involve some subjectivity and uncertainty. This reality is especially true when the analysis concerns new technologies. Dealing with uncertainty can generate richer information and minimize some of the result mismatches currently encountered in the literature. As a way of analyzing future fuel cell vehicles and their potential new fuels, the Fuel Upstream Energy and Emission Model (FUEEM) developed at the University of California - Davis, pioneered two different ways to incorporate uncertainty into the analysis. First, the model works with probabilistic curves as inputs and with Monte Carlo simulation techniques to propagate the uncertainties. Second, the project involved the interested parties in the entire process, not only in the critical review phase. The objective of this paper is to present, as a case study, the tools and the methodologies developed to acquire most of the knowledge held by interested parties and to deal with their eventually conflicted - interests. The analysis calculation methodology, the scenarios, and all assumed probabilistic curves were derived from a consensus of an international expert network discussion, using existing data in the literature along with new information collected from companies. The main part of the expert discussion process uses a variant of the Delphi technique, focusing on the group learning process through the information feedback feature. A qualitative analysis indicates that a higher level of credibility and a higher quality of information can be achieved through a more participatory process. The FUEEM method works well within technical information and also in establishing a reasonable set of simple scenarios. However, for a complex combination of scenarios, it will require some improvement. The time spent in the process was the major drawback of the method and some alternatives to share this time cost are suggested.",10.1065/lca2002.02.074,2002,0,0.0,0.0,1.0,nw,1.0,0,0
90,Out-of-Sample Validation for Structured Expert Judgment of Asian Carp Establishment in Lake Erie,"Structured expert judgment (SEJ) is used to quantify the uncertainty of nonindigenous fish (bighead carp [Hypophthalmichthys nobilis] and silver carp [H. molitrix]) establishment in Lake Erie. The classical model for structured expert judgment model is applied. Forming a weighted combination (called a decision maker) of experts' distributions, with weights derived from performance on a set of calibration variables from the experts' field, exhibits greater statistical accuracy and greater informativeness than simple averaging with equal weights. New methods of cross validation are applied and suggest that performance characteristics relative to equal weighting could be predicted with a small number (1-2) of calibration variables. The performance-based decision maker is somewhat degraded on out-of-sample prediction, but remained superior to the equal weight decision maker in terms of statistical accuracy and informativeness. Integr Environ Assess Manag 2014;10:522-528. (c) 2014 The Authors. Integrated Environmental Assessment and Management published by Wiley Periodicals, Inc. on behalf of SETAC.",10.1002/ieam.1559,2014,1,0.0,1.0,0.0,ngr,1.0,1,1
91,"Morpho-dynamics of the Brahmaputra-Jamuna River, Bangladesh","The Jamuna River is the downstream continuation of the Brahmaputra in Bangladesh. It is one of the largest sand-bed braided rivers in the world and every year it erodes thousand hectares of mainland floodplain, rendering tens of thousands of people landless and/or homeless. Understanding the morpho-dynamics of this river and its responses to the various drivers of morphological change that act on it is essential to improving the livelihoods of millions of floodplain dwellers in Bangladesh, especially given the threats posed by climate change. Reliable data, information and knowledge of river process are sparse and so progress in linking the impacts of multiple drivers (including neo-tectonics, earthquakes, large-scale avulsions and engineering interventions) to complex morphological responses depends on making best use of historical maps, time-series satellite images, hydro-morphological data, expert judgment and local knowledge. This paper draws on all these sources to chronicle the morphological evolution of the Jamuna River since the avulsion that created it about 200 years ago, and to establish temporal trends and spatial patterns in the changes that have characterized process-response mechanisms in this fluvial system since then. The understanding gained from these investigations then supports deeper analyses to: explain how historical migration of the river westward has produced significant contrasts between left and right (west) bank material properties; elucidate the relationships between discharge, fluvial processes, anabranch instability and floodplain erosion rates, and; identify causal links between drivers and morphological responses at a variety of time and space scales. Finally, the new knowledge generated by the analyses developed herein are combined with existing, conceptual and empirical process-response models for the Jamuna to predict possible future morphological adjustments in ways helpful in identifying appropriate strategies for climate change adaptation in Bangladesh. The enhanced knowledge gained from these historical and contemporary investigations may also be useful in assessing the impacts of natural and anthropogenic drivers on other large, braided rivers. (C) 2013 Elsevier B.V. All rights reserved.",10.1016/j.geomorph.2013.07.025,2014,0,0.0,0.0,0.0,ngr,0.0,1,0
92,Brain Substrates of Recovery from Misleading Influence,"Humans are strongly influenced by their environment, a dependence that can lead to errors in judgment. Although a rich literature describes how people are influenced by others, little is known regarding the factors that predict subsequent rectification of misleading influence. Using a mediation model in combination with brain imaging, we propose a model for the correction of misinformation. Specifically, our data suggest that amygdala modulation of hippocampal mnemonic representations, during the time of misleading social influence, is associated with reduced subsequent anterior-lateral prefrontal cortex activity that reflects correction. These findings illuminate the process by which erroneous beliefs are, or fail to be, rectified and highlight how past influence constrains subsequent correction.",10.1523/JNEUROSCI.4720-13.2014,2014,0,0.0,0.0,0.0,ngr,0.0,1,0
93,The vision heuristic: Judging music ensembles by sight alone,"Team effectiveness and group performance are often defined by standards set by domain experts. Professional musicians consistently report that sound output is the most important standard for evaluating the quality of group performance in the domain of music. However, across six studies, visual information dominated rapid judgments of group performance. Participants (1062 experts and novices) were able to select the actual winners of live ensemble competitions and distinguish top-ranked orchestras from non-ranked orchestras based on 6-s silent video recordings yet were unable to do so from sound recordings or recordings with both video and sound. These findings suggest that judgments of group performance in the domain of music are driven at least in part by visual cues about group dynamics and leadership. (C) 2013 The Author. Published by Elsevier Inc. All rights reserved.",10.1016/j.obhdp.2013.10.003,2014,0,0.0,0.0,0.0,nw,0.0,1,0
94,Crowding follows the binding of relative position and orientation,"Crowding-the deleterious influence of clutter on object recognition-disrupts the identification of visual features as diverse as orientation, motion, and color. It is unclear whether this occurs via independent feature-specific crowding processes (preceding the feature binding process) or via a singular (late) mechanism tuned for combined features. To examine the relationship between feature binding and crowding, we measured interactions between the crowding of relative position and orientation. Stimuli were a target cross and two flanker crosses (each composed of two near-orthogonal lines), 15 degrees in the periphery. Observers judged either the orientation (clockwise/counterclockwise) of the near-horizontal target line, its position (up/down relative to the stimulus center), or both. For single-feature judgments, crowding affected position and orientation similarly: thresholds were elevated and responses biased in a manner suggesting that the target appeared more like the flankers. These effects were tuned for orientation, with near-orthogonal elements producing little crowding. This tuning allowed us to separate the predictions of independent (feature specific) and combined (singular) models: for an independent model, reduced crowding for one feature has no effect on crowding for other features, whereas a combined process affects either all features or none. When observers made conjoint judgments, a reduction of orientation crowding (by increasing target-flanker orientation differences) increased the rate of correct responses for both position and orientation, as predicted by our combined model. In contrast, our independent model incorrectly predicted a high rate of position errors, since the probability of positional crowding would be unaffected by changes in orientation. Thus, at least for these features, crowding is a singular process that affects bound position and orientation values in an all-or-none fashion. Keywords: crowding, orientation, position, feature binding, peripheral visual field",10.1167/12.3.18,2012,0,0.0,0.0,0.0,ngr,0.0,1,0
